No;Periode;Data Inflasi (%)
1;Oktober 2024;1.71 %
2;September 2024;1.84 %
3;Agustus 2024;2.12 %
4;Juli 2024;2.13 %
5;Juni 2024;2.51 %
6;Mei 2024;2.84 %
7;April 2024;3 %
8;Maret 2024;3.05 %
9;Februari 2024;2.75 %
10;Januari 2024;2.57 %
11;Desember 2023;2.61 %
12;November 2023;2.86 %
13;Oktober 2023;2.56 %
14;September 2023;2.28 %
15;Agustus 2023;3.27 %
16;Juli 2023;3.08 %
17;Juni 2023;3.52 %
18;Mei 2023;4 %
19;April 2023;4.33 %
20;Maret 2023;4.97 %
21;Februari 2023;5.47 %
22;Januari 2023;5.28 %
23;Desember 2022;5.51 %
24;November 2022;5.42 %
25;Oktober 2022;5.71 %
26;September 2022;5.95 %
27;Agustus 2022;4.69 %
28;Juli 2022;4.94 %
29;Juni 2022;4.35 %
30;Mei 2022;3.55 %
31;April 2022;3.47 %
32;Maret 2022;2.64 %
33;Februari 2022;2.06 %
34;Januari 2022;2.18 %
35;Desember 2021;1.87 %
36;November 2021;1.75 %
37;Oktober 2021;1.66 %
38;September 2021;1.6 %
39;Agustus 2021;1.59 %
40;Juli 2021;1.52 %
41;Juni 2021;1.33 %
42;Mei 2021;1.68 %
43;April 2021;1.42 %
44;Maret 2021;1.37 %
45;Februari 2021;1.38 %
46;Januari 2021;1.55 %
47;Desember 2020;1.68 %
48;November 2020;1.59 %
49;Oktober 2020;1.44 %
50;September 2020;1.42 %
51;Agustus 2020;1.32 %
52;Juli 2020;1.54 %
53;Juni 2020;1.96 %
54;Mei 2020;2.19 %
55;April 2020;2.67 %
56;Maret 2020;2.96 %
57;Februari 2020;2.98 %
58;Januari 2020;2.68 %
59;Desember 2019;2.72 %
60;November 2019;3 %
61;Oktober 2019;3.13 %
62;September 2019;3.39 %
63;Agustus 2019;3.49 %
64;Juli 2019;3.32 %
65;Juni 2019;3.28 %
66;Mei 2019;3.32 %
67;April 2019;2.83 %
68;Maret 2019;2.48 %
69;Februari 2019;2.57 %
70;Januari 2019;2.82 %
71;Desember 2018;3.13 %
72;November 2018;3.23 %
73;Oktober 2018;3.16 %
74;September 2018;2.88 %
75;Agustus 2018;3.2 %
76;Juli 2018;3.18 %
77;Juni 2018;3.12 %
78;Mei 2018;3.23 %
79;April 2018;3.41 %
80;Maret 2018;3.4 %
81;Februari 2018;3.18 %
82;Januari 2018;3.25 %
83;Desember 2017;3.61 %
84;November 2017;3.3 %
85;Oktober 2017;3.58 %
86;September 2017;3.72 %
87;Agustus 2017;3.82 %
88;Juli 2017;3.88 %
89;Juni 2017;4.37 %
90;Mei 2017;4.33 %
91;April 2017;4.17 %
92;Maret 2017;3.61 %
93;Februari 2017;3.83 %
94;Januari 2017;3.49 %
95;Desember 2016;3.02 %
96;November 2016;3.58 %
97;Oktober 2016;3.31 %
98;September 2016;3.07 %
99;Agustus 2016;2.79 %
100;Juli 2016;3.21 %
101;Juni 2016;3.45 %
102;Mei 2016;3.33 %
103;April 2016;3.6 %
104;Maret 2016;4.45 %
105;Februari 2016;4.42 %
106;Januari 2016;4.14 %
107;Desember 2015;3.35 %
108;November 2015;4.89 %
109;Oktober 2015;6.25 %
110;September 2015;6.83 %
111;Agustus 2015;7.18 %
112;Juli 2015;7.26 %
113;Juni 2015;7.26 %
114;Mei 2015;7.15 %
115;April 2015;6.79 %
116;Maret 2015;6.38 %
117;Februari 2015;6.29 %
118;Januari 2015;6.96 %
119;Desember 2014;8.36 %
120;November 2014;6.23 %
121;Oktober 2014;4.83 %
122;September 2014;4.53 %
123;Agustus 2014;3.99 %
124;Juli 2014;4.53 %
125;Juni 2014;6.7 %
126;Mei 2014;7.32 %
127;April 2014;7.25 %
128;Maret 2014;7.32 %
