NO,Kurs Jual,Kurs Beli,Tanggal
1,9440,9346,1/24/2001
2,9502,9408,1/25/2001
3,9472,9378,1/26/2001
4,9517,9423,1/29/2001
5,9467,9373,1/30/2001
6,9497,9403,1/31/2001
7,9522,9428,2/1/2001
8,9616,9520,2/2/2001
9,9663,9567,2/5/2001
10,9628,9532,2/6/2001
11,9658,9562,2/7/2001
12,9678,9582,2/8/2001
13,9646,9550,2/9/2001
14,9648,9552,2/12/2001
15,9653,9557,2/13/2001
16,9645,9549,2/14/2001
17,9653,9557,2/15/2001
18,9651,9555,2/16/2001
19,9653,9557,2/19/2001
20,9661,9565,2/20/2001
21,9664,9568,2/21/2001
22,9684,9588,2/22/2001
23,9691,9595,2/23/2001
24,9782,9684,2/26/2001
25,9902,9804,2/27/2001
26,9884,9786,2/28/2001
27,9884,9786,3/1/2001
28,9927,9829,3/2/2001
29,9914,9816,3/6/2001
30,9939,9841,3/7/2001
31,9950,9850,3/8/2001
32,10008,9908,3/9/2001
33,10779,10671,3/12/2001
34,10251,10149,3/13/2001
35,10048,9948,3/14/2001
36,10151,10049,3/15/2001
37,10186,10084,3/16/2001
38,10452,10348,3/19/2001
39,10450,10346,3/20/2001
40,10482,10378,3/21/2001
41,10532,10428,3/22/2001
42,10377,10273,3/23/2001
43,10427,10323,3/27/2001
44,10502,10398,3/28/2001
45,10404,10300,3/29/2001
46,10452,10348,3/30/2001
47,10472,10368,4/2/2001
48,10482,10378,4/3/2001
49,10512,10408,4/4/2001
50,10743,10637,4/5/2001
51,10917,10809,4/6/2001
52,10902,10794,4/9/2001
53,10834,10726,4/10/2001
54,10713,10607,4/11/2001
55,10542,10438,4/12/2001
56,10812,10704,4/16/2001
57,10894,10786,4/17/2001
58,11015,10905,4/18/2001
59,11015,10905,4/19/2001
60,11331,11219,4/20/2001
61,11759,11641,4/23/2001
62,11889,11771,4/24/2001
63,11877,11759,4/25/2001
64,12160,12040,4/26/2001
65,11998,11878,4/27/2001
66,11733,11617,4/30/2001
67,11432,11318,5/1/2001
68,11291,11179,5/2/2001
69,11171,11059,5/3/2001
70,10960,10850,5/4/2001
71,10955,10845,5/8/2001
72,11000,10890,5/9/2001
73,11271,11159,5/10/2001
74,11264,11152,5/11/2001
75,11344,11232,5/14/2001
76,11588,11472,5/15/2001
77,11470,11356,5/16/2001
78,11392,11278,5/17/2001
79,11402,11288,5/18/2001
80,11527,11413,5/21/2001
81,11475,11361,5/22/2001
82,11484,11370,5/23/2001
83,11480,11366,5/25/2001
84,11658,11542,5/28/2001
85,11633,11517,5/29/2001
86,11392,11278,5/30/2001
87,11113,11003,5/31/2001
88,11201,11089,6/1/2001
89,11372,11258,6/5/2001
90,11234,11122,6/6/2001
91,11276,11164,6/7/2001
92,11246,11134,6/8/2001
93,11326,11214,6/11/2001
94,11301,11189,6/12/2001
95,11281,11169,6/13/2001
96,11301,11189,6/14/2001
97,11303,11191,6/15/2001
98,11341,11229,6/18/2001
99,11370,11256,6/19/2001
100,11422,11308,6/20/2001
101,11375,11261,6/21/2001
102,11402,11288,6/22/2001
103,11407,11293,6/25/2001
104,11432,11318,6/26/2001
105,11453,11339,6/27/2001
106,11476,11362,6/28/2001
107,11497,11383,6/29/2001
108,11369,11255,7/2/2001
109,11367,11253,7/3/2001
110,11417,11303,7/4/2001
111,11417,11303,7/5/2001
112,11394,11280,7/6/2001
113,11389,11275,7/9/2001
114,11406,11292,7/10/2001
115,11409,11295,7/11/2001
116,11413,11299,7/12/2001
117,11423,11309,7/13/2001
118,11397,11283,7/16/2001
119,11399,11285,7/17/2001
120,11386,11272,7/18/2001
121,11316,11204,7/19/2001
122,11224,11112,7/20/2001
123,10653,10547,7/23/2001
124,10013,9913,7/24/2001
125,10020,9920,7/25/2001
126,10100,10000,7/26/2001
127,10071,9971,7/27/2001
128,9939,9841,7/30/2001
129,9573,9477,7/31/2001
130,9472,9378,8/1/2001
131,9621,9525,8/2/2001
132,9706,9610,8/3/2001
133,9502,9408,8/6/2001
134,9331,9239,8/7/2001
135,9341,9249,8/8/2001
136,9196,9104,8/9/2001
137,9146,9054,8/10/2001
138,8980,8890,8/13/2001
139,8467,8383,8/14/2001
140,8492,8408,8/15/2001
141,8777,8689,8/16/2001
142,8581,8495,8/20/2001
143,8482,8398,8/21/2001
144,8583,8497,8/22/2001
145,8759,8671,8/23/2001
146,8744,8656,8/24/2001
147,8713,8627,8/27/2001
148,8844,8756,8/28/2001
149,9211,9119,8/29/2001
150,9174,9082,8/30/2001
151,8909,8821,8/31/2001
152,8914,8826,9/3/2001
153,9140,9050,9/4/2001
154,9118,9028,9/5/2001
155,9125,9035,9/6/2001
156,9072,8982,9/7/2001
157,9145,9055,9/10/2001
158,9130,9040,9/11/2001
159,9095,9005,9/12/2001
160,9211,9119,9/13/2001
161,9159,9067,9/14/2001
162,9176,9084,9/17/2001
163,9393,9299,9/18/2001
164,9729,9633,9/19/2001
165,9648,9552,9/20/2001
166,9458,9364,9/21/2001
167,9573,9477,9/24/2001
168,9542,9448,9/25/2001
169,9628,9532,9/26/2001
170,9708,9612,9/27/2001
171,9723,9627,9/28/2001
172,9813,9715,10/1/2001
173,10040,9940,10/2/2001
174,10068,9968,10/3/2001
175,9920,9822,10/4/2001
176,9833,9735,10/5/2001
177,10377,10273,10/8/2001
178,10186,10084,10/9/2001
179,10099,9999,10/10/2001
180,10021,9921,10/11/2001
181,10151,10049,10/12/2001
182,10068,9968,10/16/2001
183,10065,9965,10/17/2001
184,10088,9988,10/18/2001
185,10125,10025,10/19/2001
186,10196,10094,10/22/2001
187,10194,10092,10/23/2001
188,10226,10124,10/24/2001
189,10324,10222,10/25/2001
190,10311,10209,10/26/2001
191,10316,10214,10/29/2001
192,10357,10253,10/30/2001
193,10487,10383,10/31/2001
194,10566,10460,11/1/2001
195,10658,10552,11/2/2001
196,10814,10706,11/5/2001
197,11009,10899,11/6/2001
198,10789,10681,11/7/2001
199,10643,10537,11/8/2001
200,10407,10303,11/9/2001
201,10591,10485,11/12/2001
202,10691,10585,11/13/2001
203,10658,10552,11/14/2001
204,10688,10582,11/15/2001
205,10653,10547,11/16/2001
206,10233,10131,11/18/2001
207,10668,10562,11/19/2001
208,10613,10507,11/20/2001
209,10497,10393,11/21/2001
210,10563,10457,11/22/2001
211,10557,10451,11/23/2001
212,10485,10381,11/26/2001
213,10402,10298,11/27/2001
214,10484,10380,11/28/2001
215,10452,10348,11/29/2001
216,10482,10378,11/30/2001
217,10527,10423,12/3/2001
218,10527,10423,12/4/2001
219,10532,10428,12/5/2001
220,10512,10408,12/6/2001
221,10422,10318,12/7/2001
222,10407,10303,12/10/2001
223,10211,10109,12/11/2001
224,10221,10119,12/12/2001
225,10075,9975,12/13/2001
226,10210,10108,12/14/2001
227,10233,10131,12/18/2001
228,10198,10096,12/19/2001
229,10130,10030,12/20/2001
230,10251,10149,12/21/2001
231,10252,10150,12/24/2001
232,10251,10149,12/26/2001
233,10286,10184,12/27/2001
234,10397,10293,12/28/2001
235,10452,10348,12/31/2001
236,10382,10278,1/1/2002
237,10525,10421,1/2/2002
238,10438,10334,1/3/2002
239,10417,10313,1/4/2002
240,10447,10343,1/7/2002
241,10437,10333,1/8/2002
242,10477,10373,1/9/2002
243,10477,10373,1/10/2002
244,10476,10372,1/11/2002
245,10454,10350,1/14/2002
246,10451,10347,1/15/2002
247,10437,10333,1/16/2002
248,10462,10358,1/17/2002
249,10452,10348,1/18/2002
250,10427,10323,1/21/2002
251,10444,10340,1/22/2002
252,10447,10343,1/23/2002
253,10477,10373,1/24/2002
254,10506,10402,1/25/2002
255,10477,10373,1/28/2002
256,10375,10271,1/29/2002
257,10331,10229,1/30/2002
258,10372,10268,1/31/2002
259,10382,10278,2/1/2002
260,10370,10266,2/4/2002
261,10358,10254,2/5/2002
262,10357,10253,2/6/2002
263,10377,10273,2/7/2002
264,10352,10248,2/8/2002
265,10286,10184,2/11/2002
266,10236,10134,2/12/2002
267,10217,10115,2/13/2002
268,10304,10202,2/14/2002
269,10281,10179,2/15/2002
270,10301,10199,2/18/2002
271,10251,10149,2/19/2002
272,10231,10129,2/20/2002
273,10224,10122,2/21/2002
274,10261,10159,2/25/2002
275,10226,10124,2/26/2002
276,10232,10130,2/27/2002
277,10240,10138,2/28/2002
278,10176,10074.2,3/1/2002
279,10130,10030.2,3/4/2002
280,10091,9991,3/5/2002
281,9974,9874,3/6/2002
282,10040,9940,3/7/2002
283,9987,9887,3/8/2002
284,10027,9927,3/11/2002
285,10028,9928,3/12/2002
286,10044,9944,3/13/2002
287,10010,9910,3/14/2002
288,10033,9933,3/18/2002
289,10017,9917,3/19/2002
290,10012,9912,3/20/2002
291,9934,9836,3/21/2002
292,9911,9813,3/22/2002
293,9868,9770,3/25/2002
294,9738,9642,3/26/2002
295,9590,9494,3/27/2002
296,9703,9607,3/28/2002
297,9754,9656,4/1/2002
298,9819,9721,4/2/2002
299,9824,9726,4/3/2002
300,9782,9684,4/4/2002
301,9653,9557,4/5/2002
302,9578,9482,4/8/2002
303,9638,9542,4/9/2002
304,9678,9582,4/10/2002
305,9626,9530,4/11/2002
306,9588,9492,4/12/2002
307,9480,9386,4/15/2002
308,9460,9366,4/16/2002
309,9527,9433,4/17/2002
