Month,FEDRate,BIRate,Inflation,Kurs
2005-12,4.16,12.75,17.11,9808.1
2006-01,4.29,12.75,17.03,9445.6
2006-02,4.49,12.75,17.92,9207.0
2006-03,4.59,12.75,15.74,9125.7
2006-04,4.79,12.75,15.4,8892.2
2006-05,4.94,12.5,15.6,8939.9
2006-06,4.99,12.5,15.53,9315.8
2006-07,5.24,12.25,15.15,9080.0
2006-08,5.25,11.75,14.9,9048.9
2006-09,5.26,11.25,14.55,9097.6
2006-10,5.25,10.75,6.29,9141.2
2006-11,5.25,10.25,5.27,9088.6
2006-12,5.24,9.75,6.6,9041.5
2007-01,5.25,9.5,6.26,9021.2
2007-02,5.26,9.25,6.3,9022.8
2007-03,5.26,9,6.52,9118.0
2007-04,5.25,9,6.29,9052.2
2007-05,5.25,8.75,6.01,8800.2
2007-06,5.25,8.5,5.77,8938.8
2007-07,5.26,8.25,6.06,9021.9
2007-08,5.02,8.25,6.51,9319.8
2007-09,4.94,8.25,6.95,9263.3
2007-10,4.76,8.25,6.88,9061.4
2007-11,4.49,8.25,6.71,9217.9
2007-12,4.25,8,6.59,9286.9
2008-01,3.94,8,7.36,9359.4
2008-02,2.98,8,7.4,9135.4
2008-03,2.61,8,8.17,9139.1
2008-04,2.28,8,8.96,9162.6
2008-05,1.98,8.25,10.38,9244.3
2008-06,2.00,8.5,11.03,9249.1
2008-07,2.01,8.75,11.9,9117.5
2008-08,2.00,9,11.85,9103.4
2008-09,1.81,9.25,12.14,9293.9
2008-10,0.97,9.5,11.77,9998.1
2008-11,0.39,9.5,11.68,11652.5
2008-12,0.16,9.25,11.06,11268.2
2009-01,0.15,8.75,9.17,11111.3
2009-02,0.22,8.25,8.6,11793.4
2009-03,0.18,7.75,7.92,11790.3
2009-04,0.15,7.5,7.31,10970.0
2009-05,0.18,7.25,6.04,10340.7
2009-06,0.21,7,3.65,10155.7
2009-07,0.16,6.75,2.71,10060.8
2009-08,0.16,6.5,2.75,9927.7
2009-09,0.15,6.5,2.83,9851.1
2009-10,0.12,6.5,2.57,9435.5
2009-11,0.12,6.5,2.41,9422.7
2009-12,0.12,6.5,2.78,9410.7
2010-01,0.11,6.5,3.72,9229.0
2010-02,0.13,6.5,3.81,9301.3
2010-03,0.17,6.5,3.43,9127.8
2010-04,0.20,6.5,3.91,8982.3
2010-05,0.20,6.5,4.16,9137.3
2010-06,0.18,6.5,5.05,9102.7
